Tue Apr 9 04:00:00 +0000 2013, 685, 232, 469, 222, 40, 245
Sat Apr 6 04:00:00 +0000 2013, 698, 190, 412, 202, 31, 221
Mon Apr 1 04:00:00 +0000 2013, 993, 302, 614, 271, 42, 352
Fri Apr 5 04:00:00 +0000 2013, 725, 216, 468, 285, 28, 253
Wed Apr 10 04:00:00 +0000 2013, 913, 282, 566, 266, 27, 321
Thu Apr 4 04:00:00 +0000 2013, 823, 253, 538, 257, 36, 307
Wed Apr 3 04:00:00 +0000 2013, 927, 299, 590, 249, 42, 316
Thu Apr 11 04:00:00 +0000 2013, 778, 182, 486, 265, 31, 243
Fri Apr 12 04:00:00 +0000 2013, 1129, 503, 821, 271, 35, 561
Mon Apr 8 04:00:00 +0000 2013, 811, 254, 523, 282, 33, 254
Tue Apr 2 04:00:00 +0000 2013, 960, 346, 640, 267, 34, 275
Sun Mar 31 04:00:00 +0000 2013, 223, 74, 154, 32, 10, 77
Sun Apr 7 04:00:00 +0000 2013, 628, 173, 384, 192, 28, 198
Sun Apr 21 04:00:00 +0000 2013, 6460, 3005, 4079, 2923, 464, 2165
Mon Apr 22 04:00:00 +0000 2013, 6338, 2588, 3719, 3297, 275, 2073
Wed Apr 17 04:00:00 +0000 2013, 15910, 8400, 10641, 5517, 827, 6049
Thu Apr 25 04:00:00 +0000 2013, 3721, 1398, 2307, 1830, 153, 1049
Sat Apr 27 04:00:00 +0000 2013, 2040, 740, 1279, 857, 103, 627
Tue Apr 16 04:00:00 +0000 2013, 42159, 24539, 28829, 9695, 3538, 20112
Mon Apr 29 04:00:00 +0000 2013, 1861, 674, 1208, 862, 51, 572
Tue Apr 23 04:00:00 +0000 2013, 4940, 2002, 2978, 2303, 180, 1492
Sat Apr 13 04:00:00 +0000 2013, 722, 236, 466, 200, 53, 261
Mon Apr 15 04:00:00 +0000 2013, 137642, 82119, 92067, 15301, 10164, 72010
Sun Apr 14 04:00:00 +0000 2013, 807, 240, 495, 215, 38, 281
Fri Apr 19 04:00:00 +0000 2013, 56262, 32665, 39684, 10242, 4028, 21134
Sat Apr 20 04:00:00 +0000 2013, 12665, 6053, 7966, 4319, 1042, 4858
Tue Apr 30 04:00:00 +0000 2013, 1439, 544, 894, 732, 33, 487
Wed Apr 24 04:00:00 +0000 2013, 3884, 1346, 2495, 2212, 176, 1483
Fri Apr 26 04:00:00 +0000 2013, 3328, 1106, 1945, 1377, 138, 1069
Sun Apr 28 04:00:00 +0000 2013, 3103, 1061, 1723, 851, 133, 857
Thu Apr 18 04:00:00 +0000 2013, 12649, 6602, 8237, 4755, 949, 5191
