Sat Dec 20 05:00:00 +0000 2014, 865, 435, 690, 223, 198, 223
Sun Dec 21 05:00:00 +0000 2014, 947, 452, 729, 207, 225, 229
Mon Dec 22 05:00:00 +0000 2014, 922, 419, 683, 318, 223, 208
Tue Dec 23 05:00:00 +0000 2014, 946, 423, 719, 262, 212, 189
Wed Dec 24 05:00:00 +0000 2014, 799, 351, 606, 240, 162, 165
Thu Dec 25 05:00:00 +0000 2014, 659, 303, 518, 148, 143, 140
Sun Nov 30 05:00:00 +0000 2014, 330, 168, 287, 68, 63, 55
Mon Dec 1 05:00:00 +0000 2014, 1050, 451, 858, 227, 234, 199
Tue Dec 2 05:00:00 +0000 2014, 1025, 496, 849, 200, 313, 240
Wed Dec 3 05:00:00 +0000 2014, 961, 437, 753, 234, 235, 271
Thu Dec 4 05:00:00 +0000 2014, 765, 283, 575, 184, 142, 196
Fri Dec 5 05:00:00 +0000 2014, 754, 322, 580, 206, 209, 234
Sat Dec 6 05:00:00 +0000 2014, 702, 325, 559, 161, 175, 158
Sun Dec 7 05:00:00 +0000 2014, 852, 388, 680, 180, 192, 212
Mon Dec 8 05:00:00 +0000 2014, 742, 314, 579, 192, 171, 159
Tue Dec 9 05:00:00 +0000 2014, 723, 311, 569, 199, 187, 164
Wed Dec 10 05:00:00 +0000 2014, 718, 340, 586, 184, 156, 157
Fri Dec 26 05:00:00 +0000 2014, 704, 303, 547, 144, 159, 151
Thu Dec 11 05:00:00 +0000 2014, 688, 310, 543, 156, 150, 125
Sat Dec 27 05:00:00 +0000 2014, 884, 454, 727, 242, 209, 256
Fri Dec 12 05:00:00 +0000 2014, 631, 291, 498, 141, 155, 169
Sun Dec 28 05:00:00 +0000 2014, 829, 379, 645, 225, 167, 190
Sat Dec 13 05:00:00 +0000 2014, 775, 338, 570, 204, 192, 208
Mon Dec 29 05:00:00 +0000 2014, 1014, 464, 799, 231, 264, 231
Sun Dec 14 05:00:00 +0000 2014, 5288, 3232, 3867, 1841, 1178, 2628
Tue Dec 30 05:00:00 +0000 2014, 1049, 535, 843, 257, 283, 313
Mon Dec 15 05:00:00 +0000 2014, 16064, 10160, 11470, 5769, 3842, 9503
Wed Dec 31 05:00:00 +0000 2014, 1776, 1115, 1424, 723, 868, 713
Tue Dec 16 05:00:00 +0000 2014, 4611, 3024, 3494, 1699, 949, 1957
Wed Dec 17 05:00:00 +0000 2014, 1713, 909, 1252, 717, 416, 695
Thu Dec 18 05:00:00 +0000 2014, 1112, 569, 842, 421, 286, 375
Fri Dec 19 05:00:00 +0000 2014, 901, 403, 674, 316, 176, 228
