Mon Jan 5 05:00:00 +0000 2015, 2842, 1656, 2205, 1023, 855, 814
Sun Dec 21 05:00:00 +0000 2014, 2222, 1107, 1622, 658, 562, 688
Wed Jan 7 05:00:00 +0000 2015, 77754, 59281, 63727, 21144, 35917, 56009
Tue Dec 23 05:00:00 +0000 2014, 2261, 1102, 1690, 743, 640, 621
Fri Jan 9 05:00:00 +0000 2015, 33834, 22749, 25593, 14315, 11042, 19092
Thu Dec 25 05:00:00 +0000 2014, 1632, 754, 1173, 517, 441, 417
Sun Jan 11 05:00:00 +0000 2015, 23777, 16337, 18321, 9927, 10055, 12150
Tue Jan 13 05:00:00 +0000 2015, 12350, 7022, 8528, 6645, 4242, 5507
Thu Jan 15 05:00:00 +0000 2015, 9289, 4752, 5912, 5150, 2860, 4194
Sun Nov 30 05:00:00 +0000 2014, 368, 202, 289, 84, 85, 75
Sat Jan 17 05:00:00 +0000 2015, 6132, 3133, 3991, 3148, 1876, 2457
Tue Dec 2 05:00:00 +0000 2014, 2569, 1352, 1879, 911, 723, 924
Mon Jan 19 05:00:00 +0000 2015, 5353, 2754, 3627, 2618, 1740, 2330
Thu Dec 4 05:00:00 +0000 2014, 2443, 1223, 1758, 880, 628, 809
Wed Jan 21 05:00:00 +0000 2015, 4057, 1951, 2743, 1997, 1188, 1468
Sat Dec 6 05:00:00 +0000 2014, 2677, 1463, 1974, 829, 774, 965
Fri Jan 23 05:00:00 +0000 2015, 3631, 1846, 2594, 1656, 1145, 1335
Mon Dec 8 05:00:00 +0000 2014, 2639, 1432, 1999, 907, 656, 825
Sun Jan 25 05:00:00 +0000 2015, 3720, 1987, 2677, 1309, 1244, 1256
Wed Dec 10 05:00:00 +0000 2014, 3319, 1602, 2292, 1002, 788, 1178
Sat Dec 27 05:00:00 +0000 2014, 1881, 897, 1329, 536, 551, 586
Tue Jan 27 05:00:00 +0000 2015, 3393, 1712, 2406, 1583, 783, 1128
Fri Dec 12 05:00:00 +0000 2014, 2421, 1264, 1857, 795, 675, 727
Mon Dec 29 05:00:00 +0000 2014, 2278, 1111, 1636, 705, 606, 688
Thu Jan 29 05:00:00 +0000 2015, 3253, 1643, 2309, 1435, 1048, 1119
Sun Dec 14 05:00:00 +0000 2014, 2953, 1601, 2237, 735, 770, 877
Wed Dec 31 05:00:00 +0000 2014, 2303, 1172, 1720, 696, 728, 746
Sat Jan 31 05:00:00 +0000 2015, 2481, 1324, 1794, 1028, 790, 867
Tue Dec 16 05:00:00 +0000 2014, 2471, 1278, 1821, 932, 640, 862
Fri Jan 2 05:00:00 +0000 2015, 2571, 1417, 2010, 765, 741, 642
Thu Dec 18 05:00:00 +0000 2014, 2677, 1506, 2030, 1051, 1067, 818
Sun Jan 4 05:00:00 +0000 2015, 2827, 1623, 2246, 769, 793, 649
Sat Dec 20 05:00:00 +0000 2014, 2261, 1093, 1599, 695, 599, 700
Tue Jan 6 05:00:00 +0000 2015, 2585, 1350, 1969, 908, 701, 830
Mon Dec 22 05:00:00 +0000 2014, 2154, 1058, 1565, 747, 614, 598
Thu Jan 8 05:00:00 +0000 2015, 40014, 27748, 30845, 16640, 17021, 25176
Wed Dec 24 05:00:00 +0000 2014, 1926, 936, 1388, 633, 533, 546
Sat Jan 10 05:00:00 +0000 2015, 15508, 10028, 11637, 7333, 5460, 7779
Mon Jan 12 05:00:00 +0000 2015, 14316, 8784, 10409, 7344, 5422, 6230
Wed Jan 14 05:00:00 +0000 2015, 14762, 8224, 9869, 7376, 4552, 7394
Fri Jan 16 05:00:00 +0000 2015, 8169, 4204, 5251, 4578, 2447, 3718
Mon Dec 1 05:00:00 +0000 2014, 2569, 1346, 1900, 913, 650, 851
Sun Jan 18 05:00:00 +0000 2015, 5419, 2809, 3605, 2518, 1595, 2291
Wed Dec 3 05:00:00 +0000 2014, 2842, 1404, 2024, 983, 757, 1016
Tue Jan 20 05:00:00 +0000 2015, 4617, 2276, 3083, 2369, 1330, 1570
Fri Dec 5 05:00:00 +0000 2014, 2489, 1278, 1835, 976, 738, 821
Thu Jan 22 05:00:00 +0000 2015, 3376, 1636, 2348, 1552, 992, 1249
Sun Dec 7 05:00:00 +0000 2014, 2931, 1629, 2228, 863, 872, 932
Sat Jan 24 05:00:00 +0000 2015, 3285, 1711, 2366, 1268, 1086, 1207
Tue Dec 9 05:00:00 +0000 2014, 2702, 1451, 2013, 985, 663, 840
Fri Dec 26 05:00:00 +0000 2014, 2053, 967, 1472, 641, 516, 621
Mon Jan 26 05:00:00 +0000 2015, 3482, 1762, 2444, 1546, 1051, 1279
Thu Dec 11 05:00:00 +0000 2014, 2481, 1315, 1867, 887, 665, 780
Sun Dec 28 05:00:00 +0000 2014, 1989, 966, 1473, 623, 504, 605
Wed Jan 28 05:00:00 +0000 2015, 3417, 1686, 2377, 1687, 507, 1115
Sat Dec 13 05:00:00 +0000 2014, 2471, 1403, 1869, 672, 602, 812
Tue Dec 30 05:00:00 +0000 2014, 2366, 1172, 1746, 763, 568, 721
Fri Jan 30 05:00:00 +0000 2015, 3312, 1707, 2295, 1393, 1094, 1145
Mon Dec 15 05:00:00 +0000 2014, 3222, 1821, 2456, 1003, 820, 1146
Thu Jan 1 05:00:00 +0000 2015, 2178, 1129, 1665, 605, 589, 623
Wed Dec 17 05:00:00 +0000 2014, 2700, 1322, 1962, 902, 673, 938
Sat Jan 3 05:00:00 +0000 2015, 2633, 1393, 2030, 819, 846, 673
Fri Dec 19 05:00:00 +0000 2014, 2097, 1020, 1522, 802, 578, 651
